Sl.No.,State/UT,Gross  Value of Sale Proceeds / Earnings (Rs. In Crore )
1,ANDHRA PRADESH,8.65
2,ARUNACHAL PRADESH,0
3,ASSAM,0.16
4,BIHAR,12.87
5,CHHATTISGARH,2.43
6,GOA,0
7,GUJARAT,11.24
8,HARYANA,1.41
9,HIMACHAL PRADESH,2.45
10,JHARKHAND,9.01
11,KARNATAKA,3.35
12,KERALA,7.17
13,MADHYA PRADESH,2.44
14,MAHARASHTRA,12.75
15,MANIPUR,0
16,MEGHALAYA,0
17,MIZORAM,0.07
18,NAGALAND,0
19,ODISHA,1.86
20,PUNJAB,1.33
21,RAJASTHAN,1.67
22,SIKKIM,0.04
23,TAMIL NADU,65.17
24,TELANGANA,41.61
25,TRIPURA,0.02
26,UTTAR PRADESH,15.4
27,UTTARAKHAND,0.61
28,WEST BENGAL,8.43
NA,TOTAL (STATES),210.16
29,Andaman and Nicobar Islands,0
30,CHANDIGARH,8.53
31,Dadra and Nagar Haveli and Daman and Diu,0
32,DELHI,19.32
33,JAMMU & KASHMIR,0.23
34,LADAKH,0
35,LAKSHADWEEP,0
36,PUDUCHERRY,0
NA,TOTAL (UTs),28.09
NA,TOTAL (ALL-INDIA),238.25
